,class,label,count,persent
0,5,0,542,9.033333333333333
1,5,1,173,2.8833333333333333
2,5,2,115,1.9166666666666667
3,5,3,207,3.45
4,5,4,176,2.933333333333333
5,5,5,334,5.566666666666666
6,5,6,252,4.2
7,5,7,212,3.533333333333333
8,5,8,324,5.4
9,5,9,162,2.7
10,5,10,252,4.2
11,5,11,410,6.833333333333333
12,5,12,224,3.7333333333333334
13,5,13,201,3.35
14,5,14,89,1.4833333333333334
15,5,15,285,4.75
16,5,16,149,2.4833333333333334
17,5,17,192,3.2
18,5,18,260,4.333333333333333
19,5,19,119,1.9833333333333334
20,5,20,114,1.9
21,5,21,148,2.466666666666667
22,5,22,129,2.15
23,5,23,322,5.366666666666666
24,5,24,313,5.216666666666667
25,5,25,184,3.066666666666667
26,5,26,112,1.8666666666666667
