,class,label,count,persent
0,7,0,143,2.3833333333333333
1,7,1,633,10.55
2,7,2,163,2.716666666666667
3,7,3,317,5.283333333333333
4,7,4,253,4.216666666666667
5,7,5,127,2.1166666666666667
6,7,6,235,3.9166666666666665
7,7,7,208,3.466666666666667
8,7,8,288,4.8
9,7,9,101,1.6833333333333333
10,7,10,145,2.4166666666666665
11,7,11,289,4.816666666666666
12,7,12,104,1.7333333333333334
13,7,13,210,3.5
14,7,14,123,2.05
15,7,15,134,2.2333333333333334
16,7,16,272,4.533333333333333
17,7,17,249,4.15
18,7,18,142,2.3666666666666667
19,7,19,152,2.533333333333333
20,7,20,211,3.5166666666666666
21,7,21,52,0.8666666666666667
22,7,22,34,0.5666666666666667
23,7,23,213,3.55
24,7,24,215,3.5833333333333335
25,7,25,214,3.566666666666667
26,7,26,124,2.066666666666667
27,7,27,225,3.75
28,7,28,215,3.5833333333333335
29,7,29,209,3.4833333333333334
