,class,label,count,persent
0,9,0,157,2.6166666666666667
1,9,1,387,6.45
2,9,2,109,1.8166666666666667
3,9,3,179,2.9833333333333334
4,9,4,241,4.016666666666667
5,9,5,159,2.65
6,9,6,139,2.316666666666667
7,9,7,294,4.9
8,9,8,191,3.183333333333333
9,9,9,225,3.75
10,9,10,114,1.9
11,9,11,91,1.5166666666666666
12,9,12,177,2.95
13,9,13,165,2.75
14,9,14,189,3.15
15,9,15,180,3.0
16,9,16,280,4.666666666666667
17,9,17,224,3.7333333333333334
18,9,18,302,5.033333333333333
19,9,19,169,2.816666666666667
20,9,20,299,4.983333333333333
21,9,21,166,2.7666666666666666
22,9,22,200,3.3333333333333335
23,9,23,172,2.8666666666666667
24,9,24,381,6.35
25,9,25,166,2.7666666666666666
26,9,26,80,1.3333333333333333
27,9,27,186,3.1
28,9,28,121,2.0166666666666666
29,9,29,257,4.283333333333333
