,class,label,count,persent
0,8,0,258,4.3
1,8,1,152,2.533333333333333
2,8,2,175,2.9166666666666665
3,8,3,291,4.85
4,8,4,200,3.3333333333333335
5,8,5,201,3.35
6,8,6,81,1.35
7,8,7,236,3.933333333333333
8,8,8,184,3.066666666666667
9,8,9,136,2.2666666666666666
10,8,10,213,3.55
11,8,11,265,4.416666666666667
12,8,12,142,2.3666666666666667
13,8,13,128,2.1333333333333333
14,8,14,172,2.8666666666666667
15,8,15,203,3.3833333333333333
16,8,16,200,3.3333333333333335
17,8,17,235,3.9166666666666665
18,8,18,180,3.0
19,8,19,160,2.6666666666666665
20,8,20,203,3.3833333333333333
21,8,21,219,3.65
22,8,22,144,2.4
23,8,23,225,3.75
24,8,24,252,4.2
25,8,25,149,2.4833333333333334
26,8,26,41,0.6833333333333333
27,8,27,171,2.85
28,8,28,161,2.683333333333333
29,8,29,220,3.6666666666666665
30,8,30,124,2.066666666666667
31,8,31,79,1.3166666666666667
32,8,32,200,3.3333333333333335
