,class,label,count,persent
0,6,0,143,2.3833333333333333
1,6,1,176,2.933333333333333
2,6,2,410,6.833333333333333
3,6,3,126,2.1
4,6,4,202,3.3666666666666667
5,6,5,1013,16.883333333333333
6,6,6,123,2.05
7,6,7,95,1.5833333333333333
8,6,8,158,2.6333333333333333
9,6,9,125,2.0833333333333335
10,6,10,103,1.7166666666666666
11,6,11,237,3.95
12,6,12,131,2.183333333333333
13,6,13,301,5.016666666666667
14,6,14,176,2.933333333333333
15,6,15,243,4.05
16,6,16,115,1.9166666666666667
17,6,17,150,2.5
18,6,18,210,3.5
19,6,19,76,1.2666666666666666
20,6,20,96,1.6
21,6,21,168,2.8
22,6,22,123,2.05
23,6,23,189,3.15
24,6,24,313,5.216666666666667
25,6,25,298,4.966666666666667
26,6,26,179,2.9833333333333334
27,6,27,195,3.25
28,6,28,126,2.1
